,Salnty,T_degC
0,33.944,6.54
1,33.096,12.49
2,34.154,4.54
3,34.225,4.17
4,34.4,3.39
5,34.36,3.2
6,34.166,4.14
7,34.343,3.32
8,34.32,3.37
9,33.58,9.67
10,33.89,7.16
11,33.585,8.56
12,33.833,7.5
13,34.04,6.8
14,33.828,7.03
15,34.354,3.85
16,33.93,7.21
17,34.016,5.5
18,32.66,10.14
19,33.04,12.64
20,33.957,7.91
21,34.075,5.3
22,32.95,9.69
23,33.806,7.98
24,33.89,8.28
25,32.95,11.37
26,33.8,5.12
27,33.44,9.73
28,34.226,4.23
29,33.284,9.49
30,33.942,5.21
31,32.657,10.14
32,33.3,9.83
33,34.141,4.83
34,32.95,11.7
35,33.533,8.6
36,32.983,11.13
37,34.261,4.72
38,33.64,9.5
39,34.408,2.88
40,33.93,6.98
41,32.939,9.75
42,33.91,5.49
43,33.941,6.37
44,33.12,9.23
45,33.936,5.13
46,32.84,11.61
47,34.179,3.84
48,33.24,9.06
49,33.42,10.84
50,33.24,12.66
51,32.769,11.49
52,32.84,11.5
53,33.833,7.5
54,33.934,7.1
55,33.132,9.21
56,32.891,12.21
57,32.68,10.4
58,32.94,9.89
59,34.45,3.35
60,34.34,3.99
61,33.99,7.77
62,34.128,4.65
63,34.321,3.67
64,33.993,4.67
65,33.82,7.71
66,33.44,8.88
67,34.319,4.08
68,34.113,5.78
69,33.518,8.9
70,33.58,8.29
71,34.259,4.33
72,33.068,12.64
73,33.84,8.18
74,32.81,11.23
75,33.46,8.92
76,34.42,2.78
77,33.932,6.07
78,32.858,11.5
79,32.88,11.64
80,33.421,10.45
81,32.75,11.53
82,32.74,9.7
83,33.66,8.3
84,34.161,5.29
85,34.041,5.54
86,33.807,7.42
87,33.98,5.96
88,32.84,12.23
89,33.93,6.47
90,32.983,11.57
91,32.66,10.05
92,34.11,5.02
93,33.302,9.73
94,33.35,9.16
95,33.147,10.21
96,33.488,8.83
97,32.847,11.56
98,34.421,3.43
99,34.056,6.55
100,32.738,9.85
101,32.842,12.23
102,33.159,12.64
103,33.15,10.67
104,33.431,10.45
105,32.84,11.62
106,33.638,8.11
107,34.113,4.97
108,34.198,4.53
109,34.31,3.78
110,34.245,4.31
111,32.81,11.58
112,33.424,10.24
113,33.13,12.63
114,34.268,3.63
115,32.86,11.64
116,32.74,10.47
117,34.31,3.42
118,34.309,4.07
119,33.22,12.66
120,34.25,3.52
121,32.9,12.2
122,32.94,11.99
123,33.383,11.94
124,34.342,3.48
125,33.8,7.65
126,33.952,7.38
127,32.86,11.69
128,34.101,5.02
129,33.6,8.37
130,33.272,9.04
131,34.16,5.3
132,33.996,5.22
133,32.927,11.18
134,33.51,9.83
135,32.75,9.62
136,32.95,10.1
137,32.94,11.99
138,32.74,10.48
139,34.211,4.36
140,33.938,6.98
141,33.96,7.66
142,32.86,11.69
143,34.0,5.14
144,32.74,9.65
145,33.565,8.28
146,33.1,9.27
147,32.827,11.31
148,33.98,5.34
149,34.16,4.14
150,34.05,4.44
151,34.166,5.48
152,34.24,3.56
153,32.94,12.0
154,32.84,11.58
155,32.863,11.64
156,32.75,10.52
157,33.996,5.78
158,33.42,9.35
159,33.95,6.94
160,32.7,10.22
161,32.821,11.58
162,33.946,6.86
163,32.66,9.95
164,32.86,11.5
165,34.229,4.11
166,33.04,12.24
167,32.843,11.5
168,33.77,8.06
169,32.936,10.82
170,32.791,9.2
171,33.286,9.02
172,34.16,4.74
173,32.699,9.72
174,33.12,10.36
175,33.49,9.17
176,33.78,8.31
177,33.95,6.76
178,34.13,4.68
179,34.18,4.37
180,34.286,3.88
181,33.689,9.32
182,34.14,4.28
183,33.04,10.63
184,32.908,11.4
185,33.95,8.49
186,33.672,7.75
187,33.293,9.91
188,34.38,3.08
189,33.724,7.95
190,33.42,10.06
191,33.926,6.93
192,34.429,3.15
193,33.283,12.52
194,32.858,12.23
195,33.951,8.39
196,33.01,12.0
197,34.372,3.59
198,33.93,6.72
199,34.18,4.72
200,32.66,9.94
201,33.893,7.08
202,33.1,10.2
203,34.012,5.77
204,32.963,11.99
205,34.336,3.66
206,32.9,12.22
207,34.082,4.73
208,33.943,6.32
209,33.98,6.68
210,33.996,4.71
211,34.061,4.39
212,32.68,9.87
213,32.63,10.2
214,32.694,10.2
215,34.134,6.17
216,32.88,11.54
217,34.255,3.94
218,33.0,11.95
219,32.88,11.7
220,33.165,9.9
221,33.916,6.98
222,33.44,10.5
223,34.385,3.08
224,33.95,6.05
225,32.882,11.61
226,33.8,7.64
227,34.43,3.14
228,33.86,8.71
229,33.957,5.95
230,34.169,4.11
231,33.91,6.61
232,33.746,8.32
233,33.62,8.24
234,33.876,8.53
235,34.18,4.89
236,33.4,11.77
237,34.12,4.11
238,34.29,4.21
239,34.13,6.24
240,33.605,8.37
241,33.75,6.38
242,33.158,12.64
243,34.25,4.1
244,33.631,8.26
245,34.31,4.44
246,33.212,12.66
247,34.0,5.86
248,33.86,8.16
249,32.75,10.5
250,34.374,3.11
251,33.898,8.25
252,33.847,8.76
253,34.252,3.89
254,33.494,9.86
255,33.44,10.45
256,33.042,12.25
257,32.97,12.0
258,33.98,5.94
259,33.55,8.56
260,32.86,11.66
261,33.988,6.54
262,32.736,9.66
263,33.42,10.45
264,34.378,3.62
265,33.934,5.93
266,34.188,4.62
267,33.44,10.46
268,33.98,7.96
269,34.2,4.32
270,34.21,5.01
271,33.057,12.64
272,33.17,12.64
273,33.939,6.85
274,32.74,9.29
275,32.94,8.86
276,33.356,9.36
277,34.266,3.84
278,34.285,3.65
279,32.9,11.36
280,32.765,9.62
281,34.03,6.99
282,33.425,8.83
283,32.77,11.5
284,34.304,3.58
285,32.88,11.6
286,34.086,4.38
287,32.838,11.58
288,32.673,9.92
289,33.058,10.56
290,34.073,5.09
291,33.844,7.58
292,33.665,8.71
293,34.34,3.83
294,33.13,12.2
295,33.17,12.5
296,32.967,9.32
297,33.78,7.5
298,34.363,3.28
299,32.81,11.52
